"experiment","alpha","gamma","sign_gamma","abs_z","q_factor","q","log_val_double","log_val_mpfr","double_returned_nan","rel_err"
"psi",10,100,1,100,NA,NA,2536.4809083979,2536.4809083979,FALSE,8.96413904360301e-16
"psi",10,150,1,150,NA,NA,5665.12610301422,5665.12610301423,FALSE,3.21085421660434e-16
"cdf",0.5,-150,-1,150,0.333333333333333,0.00111106173278349,-5597.7570243757,-5284.05024090805,FALSE,0.0593686223948069
"cdf",0.5,-150,-1,150,1,0.00333318519835046,-5597.30930525237,-5283.60252178471,FALSE,0.0593736531418138
"cdf",0.5,-150,-1,150,3,0.00999955559505139,-5597.01452721613,-5283.30774374847,FALSE,0.059376965848498
"cdf",0.5,-100,-1,100,0.333333333333333,0.00166650003332454,-2159.4449504021,-2159.4449504021,FALSE,0
"cdf",0.5,-100,-1,100,1,0.00499950009997363,-2158.99722813955,-2158.99722813955,FALSE,0
"cdf",0.5,-100,-1,100,3,0.0149985002999209,-2158.70245110681,-2158.70245110681,FALSE,0
"cdf",0.5,-75,-1,75,0.333333333333333,0.00222182730089789,-1377.62089036212,NA,FALSE,NA
"cdf",0.5,-75,-1,75,1,0.00666548190269367,-1377.17316370581,NA,FALSE,NA
"cdf",0.5,-75,-1,75,3,0.019996445708081,-1376.87838807751,NA,FALSE,NA
"cdf",0.5,-50,-1,50,0.333333333333333,0.00333200106560128,-284.956064192895,-284.956064192895,FALSE,0
"cdf",0.5,-50,-1,50,1,0.00999600319680383,-284.508324990352,-284.508324990352,FALSE,0
"cdf",0.5,-50,-1,50,3,0.0299880095904115,-284.213553371779,-284.213553371779,FALSE,0
"cdf",0.5,-30,-1,30,0.333333333333333,0.00554939639548468,-0.829103603789943,-0.829103603789943,FALSE,1.33906428527168e-16
"cdf",0.5,-30,-1,30,1,0.0166481891864541,-0.381324326195285,-0.381324326195285,FALSE,2.9114927854264e-16
"cdf",0.5,-30,-1,30,3,0.0499445675593622,-0.0865655096271493,-0.0865655096271493,FALSE,3.20630880996096e-16
"cdf",0.5,-25,-1,25,0.333333333333333,0.00665603399740888,-0.828961002130252,-0.828961002130252,FALSE,0
"cdf",0.5,-25,-1,25,1,0.0199681019922267,-0.381154237164203,-0.381154237164202,FALSE,8.73837609324702e-16
"cdf",0.5,-25,-1,25,3,0.05990430597668,-0.0864041963167956,-0.0864041963167955,FALSE,8.03073716288757e-16
"cdf",0.5,-22,-1,22,0.333333333333333,0.00756016953121019,-0.82882603930744,-0.82882603930744,FALSE,2.67902544556358e-16
"cdf",0.5,-22,-1,22,1,0.0226805085936306,-0.380993115907814,-0.380993115907813,FALSE,1.16560953809338e-15
"cdf",0.5,-22,-1,22,3,0.0680415257808917,-0.0862514226168964,-0.0862514226168957,FALSE,9.01035708929134e-15
"cdf",0.5,-20,-1,20,0.333333333333333,0.00831260352014832,-0.828701271416058,-0.828701271416058,FALSE,0
"cdf",0.5,-20,-1,20,1,0.024937810560445,-0.380844040842417,-0.380844040842418,FALSE,2.91516449140013e-16
"cdf",0.5,-20,-1,20,3,0.0748134316813349,-0.0861101009499606,-0.08611010094996,FALSE,6.60769519305339e-15
