"alpha","beta","gamma","q_factor","q","abs_z","val_series","val_integrate","val_dispatch","val_ref","val_ref_quad","series_returned_nan","rel_err_series","rel_err_integrate","rel_err_dispatch","ref_iterations","ref_reached_max"
1.5,1,-22,0.333333333333333,0.0225881209433405,22,0.19874262513381,0.198742625134714,0.19874262513381,0.19874262513381,0.19874262513381,FALSE,5.58623508106358e-16,4.5469160442317e-12,5.58623508106358e-16,200,FALSE
3,1,-22,0.333333333333333,0.0449046115974407,22,0.0799258266674648,0.079925826667465,0.0799258266674648,0.0799258266674649,0.0799258266674649,FALSE,5.20900003908135e-16,1.21543334245231e-15,5.20900003908135e-16,200,FALSE
10,1,-22,0.333333333333333,0.145723681172986,22,0.00218190828757413,0.00218190828757353,0.00218190828757413,0.00218190828757361,0.00218190828757353,FALSE,2.73099248667642e-13,3.97524379428882e-16,2.73099248667642e-13,202,FALSE
0.3,1,-20,0.333333333333333,0.0049925224159777,20,0.546211912082261,0.546211912082261,0.546211912082261,0.546211912082261,0.546211912082261,FALSE,4.06517324161892e-16,0,4.06517324161892e-16,200,FALSE
0.7,1,-20,0.333333333333333,0.0116261166898806,20,0.362127644262613,0.362127644262611,0.362127644262613,0.362127644262612,0.36212764426258,FALSE,9.09019601283653e-14,8.59966266981669e-14,9.09019601283653e-14,200,FALSE
1,1,-20,0.333333333333333,0.0165841563936796,20,0.283659065204676,0.283659065204676,0.283659065204685,0.283659065204676,0.283659065204676,FALSE,3.91393458137525e-16,3.91393458137525e-16,3.28770504835521e-14,200,FALSE
1.5,1,-20,0.333333333333333,0.0248152608487032,20,0.198740187424101,0.198740187425005,0.198740187424101,0.198740187424101,0.198740187424101,FALSE,9.77603130134921e-16,4.5459942127174e-12,9.77603130134921e-16,200,FALSE
3,1,-20,0.333333333333333,0.0492716901645001,20,0.0798481316416064,0.0798481316416059,0.0798481316416064,0.0798481316416059,0.079848131641606,FALSE,5.04026629242899e-15,1.04281371567496e-15,5.04026629242899e-15,200,FALSE
10,1,-20,0.333333333333333,0.159075191683887,20,0.00214979107255123,0.00214979107255061,0.00214979107255123,0.00214979107255084,0.00214979107255061,FALSE,2.88476238728593e-13,8.06926541898163e-16,2.88476238728593e-13,202,FALSE
0.3,1,-18,0.333333333333333,0.00554530541816186,18,0.546280899176878,0.546280899176878,0.546280899176878,0.546280899176878,0.546280899176878,FALSE,0,6.09698980669841e-16,0,200,FALSE
0.7,1,-18,0.333333333333333,0.0129074290546957,18,0.362192643994498,0.362192643994496,0.362192643994498,0.362192643994498,0.362192643994465,FALSE,9.25715524586748e-14,8.73605710288818e-14,9.25715524586748e-14,200,FALSE
1,1,-18,0.333333333333333,0.0184055965240499,18,0.283701323307642,0.283701323307642,0.283701323307646,0.283701323307642,0.283701323307642,FALSE,3.91335158990867e-16,5.87002738486301e-16,1.21313899287169e-14,200,FALSE
1.5,1,-18,0.333333333333333,0.0275252316519466,18,0.198736224695735,0.198736224696638,0.198736224695735,0.198736224695735,0.198736224695735,FALSE,1.67592449689266e-15,4.54357097145075e-12,1.67592449689266e-15,200,FALSE
3,1,-18,0.333333333333333,0.0545631755148026,18,0.0797437909991984,0.0797437909991981,0.0797437909991984,0.0797437909991981,0.0797437909991982,FALSE,3.306564248383e-15,3.48059394566631e-16,3.306564248383e-15,200,FALSE
10,1,-18,0.333333333333333,0.174979270186815,18,0.00210848893242201,0.0021084889324217,0.00210848893242201,0.00210848893242172,0.00210848893242169,FALSE,1.52822659255129e-13,1.85114930457088e-15,1.52822659255129e-13,202,FALSE
0.3,1,-15,0.333333333333333,0.00664898307628725,15,0.546439019906186,0.546439019906186,0.546439019906186,0.546439019906186,0.546439019906186,FALSE,4.06348369783608e-16,2.03174184891804e-16,4.06348369783608e-16,200,FALSE
0.7,1,-15,0.333333333333333,0.0154599515152144,15,0.362340230839578,0.362340230839576,0.362340230839578,0.362340230839578,0.362340230839543,FALSE,9.52914778075872e-14,8.90102067623925e-14,9.52914778075872e-14,200,FALSE
1,1,-15,0.333333333333333,0.0220281268728123,15,0.283795901449689,0.283795901449689,0.283795901449687,0.283795901449689,0.283795901449689,FALSE,9.78011855486552e-16,3.91204742194621e-16,6.65048061730856e-15,200,FALSE
1.5,1,-15,0.333333333333333,0.032900359861721,15,0.198724251890934,0.198724251891836,0.198724251890934,0.198724251890933,0.198724251890933,FALSE,6.98343945228741e-16,4.53965465035395e-12,6.98343945228741e-16,200,FALSE
3,1,-15,0.333333333333333,0.0649778198382916,15,0.0795051579846844,0.0795051579846843,0.0795051579846844,0.0795051579846842,0.0795051579846843,FALSE,1.92007248027061e-15,0,1.92007248027061e-15,200,FALSE
10,1,-15,0.333333333333333,0.205354099714415,15,0.00202109991131856,0.00202109991131854,0.00202109991131856,0.00202109991131857,0.00202109991131853,FALSE,1.13725629930376e-14,2.57491992295191e-15,1.13725629930376e-14,202,FALSE
0.3,1,-10,0.333333333333333,0.00994070937823451,10,0.547063331228058,0.547063331228057,0.547063331228058,0.547063331228058,0.547063331228058,FALSE,2.02942321528461e-16,1.01471160764231e-15,2.02942321528461e-16,200,FALSE
0.7,1,-10,0.333333333333333,0.0230155052443419,10,0.362904463935969,0.362904463935964,0.362904463935969,0.362904463935969,0.362904463935933,FALSE,9.86614828482305e-14,8.73421809400614e-14,9.86614828482305e-14,200,FALSE
1,1,-10,0.333333333333333,0.0326920704511053,10,0.28413963235218,0.28413963235218,0.28413963235218,0.28413963235218,0.28413963235218,FALSE,9.76828729799544e-16,0,1.95365745959909e-15,200,FALSE
1.5,1,-10,0.333333333333333,0.0485837703548636,10,0.198640616411875,0.198640616412774,0.198640616411875,0.198640616411876,0.198640616411876,FALSE,1.39727595075916e-15,4.52214388703694e-12,1.39727595075916e-15,200,FALSE
3,1,-10,0.333333333333333,0.0946273938050036,10,0.0785733808968744,0.0785733808968745,0.0785733808968744,0.0785733808968744,0.0785733808968745,FALSE,1.41297601293534e-15,3.53244003233835e-16,1.41297601293534e-15,200,FALSE
10,1,-10,0.333333333333333,0.284700655416562,10,0.00175040364575577,0.00175040364575571,0.00175040364575577,0.00175040364575568,0.00175040364575571,FALSE,3.27043849834531e-14,9.91041969195549e-16,3.27043849834531e-14,202,FALSE
0.3,1,-5,0.333333333333333,0.0195417442767467,5,0.549937501859866,0.549937501859866,0.549937501859866,0.549937501859866,0.549937501859866,FALSE,8.07526688665841e-16,4.03763344332921e-16,8.07526688665841e-16,200,FALSE
0.7,1,-5,0.333333333333333,0.0443105561979777,5,0.365155342807081,0.365155342807068,0.365155342807081,0.365155342807081,0.365155342807056,FALSE,6.81052495642766e-14,3.4356666074836e-14,6.81052495642766e-14,200,FALSE
1,1,-5,0.333333333333333,0.0620468872115024,5,0.28520075946267,0.285200759462671,0.285200759462672,0.285200759462671,0.285200759462671,FALSE,7.78555447549901e-16,3.89277723774951e-16,4.28205496152446e-15,200,FALSE
1.5,1,-5,0.333333333333333,0.090230210858185,5,0.197695594608775,0.197695594609654,0.197695594608775,0.197695594608775,0.197695594608775,FALSE,0,4.44393936395032e-12,0,200,FALSE
3,1,-5,0.333333333333333,0.166666666666667,5,0.0746163495085406,0.0746163495085405,0.0746163495085406,0.0746163495085406,0.0746163495085406,FALSE,1.85988565498316e-16,1.30191995848821e-15,1.85988565498316e-16,200,FALSE
10,1,-5,0.333333333333333,0.4372458971633,5,0.00115511450907509,0.00115511450907513,0.00115511450907509,0.00115511450907514,0.00115511450907513,FALSE,3.81075710304737e-14,9.38610123903294e-16,3.81075710304737e-14,201,FALSE
0.3,1,-2,0.333333333333333,0.0441518440112253,2,0.560240029654266,0.560240029654266,0.560240029654266,0.560240029654266,0.560240029654266,FALSE,3.96338342802921e-16,3.96338342802921e-16,3.96338342802921e-16,200,FALSE
0.7,1,-2,0.333333333333333,0.0915322230804945,2,0.369496903013373,0.369496903013334,0.369496903013373,0.369496903013373,0.369496903013395,FALSE,6.17463447460068e-14,1.65858794646208e-13,6.17463447460068e-14,200,FALSE
1,1,-2,0.333333333333333,0.122008467928146,2,0.284375898213166,0.284375898213166,0.284375898213166,0.284375898213166,0.284375898213166,FALSE,5.85610295176778e-16,0,1.95203431725593e-16,200,FALSE
1.5,1,-2,0.333333333333333,0.166666666666667,2,0.190829801166966,0.190829801167765,0.190829801166966,0.190829801166966,0.190829801166966,FALSE,1.45446756459932e-16,4.18741211848144e-12,1.45446756459932e-16,200,FALSE
3,1,-2,0.333333333333333,0.274291885177432,2,0.0642223958615325,0.0642223958615325,0.0642223958615325,0.0642223958615325,0.0642223958615325,FALSE,2.16089537328004e-16,2.16089537328004e-16,2.16089537328004e-16,200,FALSE
10,1,-2,0.333333333333333,0.597095949159307,2,0.000609635884589285,0.000609635884589287,0.000609635884589285,0.000609635884589289,0.000609635884589287,FALSE,3.73472858106681e-15,1.77844218146039e-16,3.73472858106681e-15,201,FALSE
0.3,1,-0.5,0.333333333333333,0.0939901716341642,0.5,0.575839901412397,0.575839901412397,0.575839901412397,0.575839901412397,0.575839901412397,FALSE,0,5.78401924858999e-16,0,200,FALSE
0.7,1,-0.5,0.333333333333333,0.159889777040797,0.5,0.365319840334361,0.365319840334369,0.365319840334361,0.365319840334361,0.365319840334355,FALSE,1.62588847523539e-14,3.93556182323332e-14,1.62588847523539e-14,200,FALSE
1,1,-0.5,0.333333333333333,0.197690110272418,0.5,0.272255999467497,0.272255999467497,0.272255999467497,0.272255999467497,0.272255999467497,FALSE,0,0,4.07786431445637e-16,200,FALSE
